source,category_name,brand_name,signal_date,signal_type,signal_value,signal_unit,text,url,notes
,Audio Content,ABC Listen,2024-09-01,,,,,,
,Audio Content,ABC Listen,2024-10-01,,,,,,
,Audio Content,ABC Listen,2024-11-01,,,,,,
,Audio Content,ABC Listen,2024-12-01,,,,,,
,Audio Content,ABC Listen,2025-01-01,,,,,,
,Audio Content,ABC Listen,2025-02-01,,,,,,
,Audio Content,ABC Listen,2025-03-01,,,,,,
,Audio Content,Apple Music,2024-09-01,,,,,,
,Audio Content,Apple Music,2024-10-01,,,,,,
,Audio Content,Apple Music,2024-11-01,,,,,,
,Audio Content,Apple Music,2024-12-01,,,,,,
,Audio Content,Apple Music,2025-01-01,,,,,,
,Audio Content,Apple Music,2025-02-01,,,,,,
,Audio Content,Apple Music,2025-03-01,,,,,,
,Audio Content,Audible,2024-09-01,,,,,,
,Audio Content,Audible,2024-10-01,,,,,,
,Audio Content,Audible,2024-11-01,,,,,,
,Audio Content,Audible,2024-12-01,,,,,,
,Audio Content,Audible,2025-01-01,,,,,,
,Audio Content,Audible,2025-02-01,,,,,,
,Audio Content,Audible,2025-03-01,,,,,,
,Audio Content,LiSTNR,2024-09-01,,,,,,
,Audio Content,LiSTNR,2024-10-01,,,,,,
,Audio Content,LiSTNR,2024-11-01,,,,,,
,Audio Content,LiSTNR,2024-12-01,,,,,,
,Audio Content,LiSTNR,2025-01-01,,,,,,
,Audio Content,LiSTNR,2025-02-01,,,,,,
,Audio Content,LiSTNR,2025-03-01,,,,,,
,Audio Content,Mamamia,2024-09-01,,,,,,
,Audio Content,Mamamia,2024-10-01,,,,,,
,Audio Content,Mamamia,2024-11-01,,,,,,
,Audio Content,Mamamia,2024-12-01,,,,,,
,Audio Content,Mamamia,2025-01-01,,,,,,
,Audio Content,Mamamia,2025-02-01,,,,,,
,Audio Content,Mamamia,2025-03-01,,,,,,
,Audio Content,SXM Podcasts,2024-09-01,,,,,,
,Audio Content,SXM Podcasts,2024-10-01,,,,,,
,Audio Content,SXM Podcasts,2024-11-01,,,,,,
,Audio Content,SXM Podcasts,2024-12-01,,,,,,
,Audio Content,SXM Podcasts,2025-01-01,,,,,,
,Audio Content,SXM Podcasts,2025-02-01,,,,,,
,Audio Content,SXM Podcasts,2025-03-01,,,,,,
,Audio Content,Schwartz Media,2024-09-01,,,,,,
,Audio Content,Schwartz Media,2024-10-01,,,,,,
,Audio Content,Schwartz Media,2024-11-01,,,,,,
,Audio Content,Schwartz Media,2024-12-01,,,,,,
,Audio Content,Schwartz Media,2025-01-01,,,,,,
,Audio Content,Schwartz Media,2025-02-01,,,,,,
,Audio Content,Schwartz Media,2025-03-01,,,,,,
,Audio Content,SoundCloud,2024-09-01,,,,,,
,Audio Content,SoundCloud,2024-10-01,,,,,,
,Audio Content,SoundCloud,2024-11-01,,,,,,
,Audio Content,SoundCloud,2024-12-01,,,,,,
