category_name,obs,consideration_vs_awareness,preference_vs_consideration,share_consideration_vs_share_awareness,share_preference_vs_share_consideration
Online Outlet Retailer,78,0.9937286055035044,0.9849113618211124,0.9959196819373056,0.9883975522528922
Coffee,454,0.9941090267639684,0.9822667505624453,0.995354484326253,0.9820319368805753
"Chips, Crisps, Crackers",226,0.9930606307914106,0.9493216363442304,0.9940389557335433,0.951608394711654
Haircare,269,0.9915797937634852,0.958524810709465,0.9934789138357406,0.9634820421712551
Healthy Beverages,288,0.9927607028233126,0.9886647537521991,0.9934041668632201,0.9897009269106738
Household Cleaners (Indoor),393,0.9924169838303231,0.9398898527909337,0.9927514793004667,0.9530016879191316
Homeware,240,0.9883231594035355,0.9092733325700652,0.9924179210363329,0.9604907430825751
Streetwear,158,0.990022228324126,0.9833016290274633,0.9922305581898112,0.9882140025047643
"Crumbs, Coatings and Sauces",102,0.9905241706448192,0.8308690345618278,0.9914560525660662,0.8326493503424395
"Coupons, Discounts and Vouchers",120,0.9889660765955369,0.9655261970796085,0.9905971727602281,0.9659674481843282
Garden Care,157,0.9886695138735629,0.9294381715125865,0.9897843998553458,0.9329820096332028
Kitchenware Retailers,198,0.987925133004126,0.9784003042429166,0.989609388895332,0.9812991710342998
Asian Foods & Condiments,238,0.9887755584250336,0.9069934152886272,0.9894879583282326,0.912184344142337
Fresh Meat & Poultry,108,0.9876797292873815,0.9522833977080497,0.9881306120860468,0.9540468903184632
Outdoor Apparel,336,0.9828726178654128,0.9624856715494259,0.9878230770670419,0.976572421832541
"Mattresses, beds, and pillows",320,0.9820748543568059,0.9339048180208982,0.986522710748134,0.9488047844176765
Reusable Bottles,165,0.9801604959248718,0.9670255360262803,0.9854765883178243,0.9699801595325812
Breakfast or Health Foods,480,0.9822409081634789,0.9763740038626152,0.9827544031350758,0.9772951108732323
Feminine Hygiene Products (Female Only),109,0.9823432665315607,0.936162284681445,0.9826207214956068,0.9396343717439803
Laundry Care,269,0.9783338413596063,0.9464105208261449,0.9810145617104875,0.9499078409894149
Cafes,119,0.9728129656998195,0.9314941334676216,0.9786286665635477,0.9399019284534549
Body Care,238,0.977066905295916,0.9169684204623538,0.9780661440624231,0.917429146226895
Skincare,378,0.9735490040446116,0.9428619896542462,0.9745679685201389,0.9462309105518465
Furniture & Homeware,339,0.9682860586288327,0.9238957483295804,0.9730607203399301,0.9384834811027815
Retail Establishments,128,0.9719293284565661,0.8944168358963581,0.9722417454052561,0.8964948532646531
Eco Products,210,0.97019228951561,0.9126190726464515,0.9718048466531213,0.9205523579437966
Health & Beauty Retailers,210,0.9703581893068749,0.9826336321623433,0.970869417777542,0.9829584023026045
Skincare (Female Only),741,0.9644342607888677,0.9178424479744816,0.9699860317329346,0.9253907621973299
Men's Clothing (Male Only),300,0.9616710892943279,0.9245820629052851,0.9645224536310223,0.9331934293870631
Fast Food,450,0.9543805017624054,0.9116732044101947,0.9607527728725138,0.9136194361631739
Chocolate & Confectionery,161,0.9576168834972482,0.687641535330949,0.9580478662268004,0.690463658550509
News or Media Sources,154,0.955456423630133,0.9809534460136728,0.9566675693244254,0.9819958485064822
Online Market Places,112,0.9536277675353844,0.9208608304318813,0.9543068115657722,0.922145326459719
Sugar confectionery,305,0.9354088176844542,0.8092545535725166,0.9526319790781196,0.8177429001860207
Chocolate confectionery,248,0.9492641507797065,0.745286717193997,0.9509616087756083,0.7482735681513634
Chocolate,245,0.9491454301239103,0.7232269072424388,0.9497108765207867,0.727833430331596
Female Fashion,458,0.9377711755768997,0.8638139281601678,0.9463920147505861,0.8733808755394654
Car Insurance,310,0.9372476572743629,0.9535274527272324,0.9399069029446885,0.9569965346362769
Yoghurt,384,0.9270251539620138,0.9148099480401459,0.9395919194193524,0.9355635185238045
Chocolate bars and blocks,270,0.9371580547230564,0.7520638055117215,0.9395665263469963,0.7541117475361394
Audio Content,276,0.9292088199081863,0.9243902709708834,0.930211818396784,0.9258600201952708
Holiday Destinations,140,0.9249995075775825,0.7517955437236203,0.9291459247539899,0.7538976686418443
Floor Cleaning Appliances,175,0.9205041532312447,0.9321268930617884,0.9212443710333608,0.9353996847991327
Packaged Snacks,200,0.9128285728481051,0.7747566849300364,0.9135310933914775,0.7801821720848436
Liquor Retailer,264,0.8968998098188018,0.8665882382109453,0.8983068522465935,0.8703184074925961
Fresh Milk (Dairy),112,0.8824312709280039,0.8753702813531428,0.8856977187888425,0.8798517275102019
Female Skincare,339,0.8290779621845088,0.8401779364974437,0.8854920138104297,0.8434971883574713
Department Stores,96,0.870033643833014,0.8300428791688045,0.8749640848377047,0.8329024386505905
Social Media Platforms,204,0.7987199459429863,0.9315498071994082,0.7971411624660436,0.9342116272144261
Men's Online Health Providers,448,0.5781464679066136,0.9498519882903818,0.6132628272651275,0.9489366448666178
