category_name,brand_count,month_count,avg_awareness,avg_consideration,avg_preference,avg_awareness_to_consideration,avg_consideration_to_preference,avg_brands_per_month,consideration_spread,enough_time_depth,enough_brand_depth,strong_funnel_signal,triangulation_ready,latest_consideration_spread
Liquor Retailer,11,24,0.5281052976030113,0.3036897923769659,0.08596211775940531,0.5100450221319098,0.19823089447088282,11,0.24962039911120407,True,True,True,True,0.24485064170203252
Garden Care,9,20,0.3933518671680701,0.30701540398910826,0.10609871797054778,0.7453720625242293,0.3129404843886384,9,0.22402216718203255,True,True,True,True,0.24192953034560677
Household Cleaners (Indoor),17,24,0.3022870479360102,0.20732193882850636,0.055540243068302804,0.5952624101686448,0.25298024751986203,17,0.2459703468196753,True,True,True,True,0.24011143250107556
Sugar confectionery,12,31,0.5778559987480327,0.3657756990545902,0.0863139677708918,0.6055165807101046,0.2049518919740594,12,0.21074985999697454,True,True,True,True,0.2330351727321152
Audio Content,12,23,0.3986601305944783,0.21961682530902538,0.0782904298583116,0.4835095798647638,0.23263186959777887,12,0.225033096198618,True,True,True,True,0.22799298341344734
Social Media Platforms,12,20,0.5959534514291226,0.2701552185651618,0.08884247853902942,0.4118187008561676,0.21543743946872343,12,0.22052756116756347,True,True,True,True,0.21874361185868535
Chocolate confectionery,8,31,0.7030150282383911,0.47051644047242336,0.11471281402417742,0.6397306092339272,0.17714968717024082,8,0.20870846204081125,True,True,True,True,0.21520316548137675
Chocolate bars and blocks,9,30,0.6206788661478333,0.4087905877378259,0.1061248956651852,0.6256324920212305,0.20407769149998722,9,0.2578783487672209,True,True,True,True,0.21470805804569126
Furniture & Homeware,11,37,0.4038324137154454,0.24287224439891741,0.08299096893834218,0.5535480723940636,0.27891491446850714,11,0.21017064968292784,True,True,True,True,0.21122429140057514
Body Care,13,20,0.34190315039135294,0.20845287304699578,0.07141488650586975,0.5594978055119247,0.25385057388341176,13,0.2144420167450895,True,True,True,True,0.21092661016713382
Packaged Snacks,10,20,0.72063021541671,0.5068625182891,0.0942608363351,0.6894590366318405,0.16261744448482188,10,0.20017511605242388,True,True,True,True,0.21013695117777428
Fast Food,15,31,0.53469903854348,0.30441409595272667,0.06420470418354444,0.540859875958452,0.17257383521812897,15,0.231861773347081,True,True,True,True,0.20136233187031824
Healthy Beverages,8,36,0.17938668425000348,0.11934448076854166,0.06905815896757986,0.6066969786040248,0.4788736931497446,8,0.1559596272675494,True,True,True,True,0.19756100279867825
Breakfast or Health Foods,12,40,0.18858461364235,0.11729533440862085,0.062469768338460414,0.59789566905089,0.38821003407648363,12,0.17949508907534087,True,True,True,True,0.19634346030266037
Car Insurance,10,31,0.44498485957566775,0.17228561307927096,0.07166445856853226,0.3554031849550941,0.427090177033271,10,0.14216519101365654,True,True,True,True,0.182574241754427
Asian Foods & Condiments,16,19,0.27779175134260925,0.21169142556731094,0.06021391857281093,0.7096300356189987,0.25578266645746783,16,0.16267230581389852,True,True,True,True,0.1786175129589701
Homeware,12,21,0.3686940464823917,0.23272957555304166,0.0668726419747375,0.6045381297761082,0.28264368830580144,12,0.17607657305150298,True,True,True,True,0.1699609382208585
Laundry Care,14,20,0.411365682461461,0.2126930541198699,0.06524040388528253,0.5040970583164196,0.2656992060802666,14,0.17333452719943113,True,True,True,True,0.16402272576183563
Kitchenware Retailers,8,28,0.3605502389605505,0.23836098948301013,0.10679800831481315,0.6289262954739823,0.39614798503354814,8,0.17599964582633393,True,True,True,True,0.16188148340945838
"Mattresses, beds, and pillows",10,34,0.34088745641190316,0.18131126908621248,0.06700027126824062,0.4909908675244633,0.3348127899736057,10,0.14143100953042542,True,True,True,True,0.15211999084171776
Yoghurt,16,24,0.36348335224163025,0.19024039644560678,0.05161877680941406,0.4956367028482788,0.2279146313275565,16,0.1521048128910441,True,True,True,True,0.14240471941316843
Haircare,14,20,0.3181366636085874,0.15886640819921188,0.05291955713046097,0.4989123663575783,0.329699790061413,14,0.1467921554530963,True,True,True,True,0.140963653731208
Female Fashion,11,42,0.5162261407091768,0.2895797921445065,0.054221673429207425,0.5663123269224453,0.15914915901521864,11,0.13215896197435453,True,True,True,True,0.13311253241415344
Outdoor Apparel,12,28,0.23515172040505355,0.12826371374402976,0.05569218969383036,0.5343272090298384,0.39567393073047386,12,0.13548267590810603,True,True,True,True,0.13132806375422526
Coffee,18,31,0.13984114371121364,0.0869055096830771,0.039515784299244495,0.5822758719910239,0.3661357123995954,18,0.12677386518518566,True,True,True,True,0.12248500574558371
Reusable Bottles,9,19,0.269814574648697,0.16872231578413938,0.08254868629947272,0.6089089406468678,0.4481537955387665,9,0.12288530023149222,True,True,True,True,0.11743593295706664
Men's Clothing (Male Only),12,25,0.31054909273728,0.17024990596106002,0.056346724715070004,0.5360880193165249,0.30627071457467153,12,0.10858993998745707,True,True,True,True,0.11048201717715175
Skincare (Female Only),28,28,0.23060087841956275,0.11386609388484752,0.026670909154367074,0.4746373491513673,0.17172238046367302,28,0.12139708691596778,True,True,True,True,0.11020689390350799
"Crumbs, Coatings and Sauces",6,17,0.4892275496172941,0.39117213168825493,0.1471568536122843,0.7616773059565284,0.3360400181342557,6,0.28562358820547823,False,False,True,False,0.3208297176455104
Health & Beauty Retailers,6,35,0.33513837746851904,0.22689919705551906,0.13338285009827144,0.5658148070098846,0.3725926294041587,6,0.2667271582054538,True,False,True,False,0.29531796494777734
Chocolate & Confectionery,7,23,0.7099656505759131,0.5202358500594596,0.13530237039091925,0.7101034995791792,0.2321235960296651,7,0.2392978499161154,True,False,True,False,0.27104658160847994
"Chips, Crisps, Crackers",7,37,0.36548052650194246,0.27764246833922124,0.12268508261739823,0.6810592719877224,0.3899850147965099,7,0.28793726283628635,True,False,True,False,0.27016665270575263
Online Market Places,8,14,0.5736074438519018,0.34542247704932144,0.11397543403971429,0.5468072054112315,0.2350620995984818,8,0.23649394315957695,False,True,True,False,0.25879700567108005
Retail Establishments,8,16,0.48175503781814843,0.3233762167571719,0.10622519489928126,0.617487664250846,0.24830017587098183,8,0.24392203962055592,False,True,True,False,0.24249156241196287
News or Media Sources,7,22,0.2885746022448961,0.1751987273416104,0.10166276631376624,0.5437904076066401,0.41525746357321125,7,0.23142896862059115,True,False,True,False,0.239756358563001
Chocolate,7,35,0.6945438667386203,0.49659168536549386,0.13511952935262858,0.696915222017061,0.24867968621919195,7,0.22434575067851967,True,False,True,False,0.21459742300048154
Department Stores,6,16,0.8449225565769375,0.5774598204254687,0.15918846721010416,0.6690788237810312,0.24311421918404427,6,0.19078482380046521,False,False,True,False,0.2043700138871114
Fresh Meat & Poultry,6,18,0.3594120812005833,0.26564663424414814,0.11452092329381482,0.6980631321080032,0.38087802307947427,6,0.1954093974300606,True,False,True,False,0.20409248250780726
Floor Cleaning Appliances,7,25,0.48726224613788005,0.26669294374005714,0.11937833499145716,0.5180962508713248,0.36795511897450955,7,0.19098030658549692,True,False,True,False,0.19548128800899733
Holiday Destinations,7,20,0.6859471440656857,0.4039787795730357,0.12127625026599999,0.5897659030958393,0.2907921263436827,7,0.1721149062316176,True,False,True,False,0.19135084700782778
Streetwear,7,24,0.3257253235399114,0.19977367741487975,0.08940881271804431,0.5813766816117261,0.40664977020610266,7,0.17347432342069868,True,False,True,False,0.1855434340393296
Online Outlet Retailer,6,13,0.3036921322843718,0.18774442582517947,0.09931835812882052,0.6204730645068754,0.5150619118406148,6,0.18083796366509278,False,False,True,False,0.16885040872878898
